FID,Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub Location,Spatial_Re,Facility Type,Agency,Latitude,Longitude,GlobalID,x,y
1404,21,MOSQUE DISP,1297,NYANZA,KISUMU,WINAM,TOWNSHIP,KALOLENI(KISUMU),SUBLOC CENTROID,4,LA,-0.096339,34.767528,fa2d16eb-a962-4fbc-9ce6-9847e78eb483,34.767528,-0.096339
1405,22,NDURU KADERO DISP,85,NYANZA,KISUMU,KOMBEWA,S.C. SEME,WEST KANYADWERA,DDP,4,MOH,-0.076558,34.4409,2dc30c0d-7c54-499a-b146-39e890b7609e,34.4409,-0.076558
1406,23,NYAHERA HC,1322,NYANZA,KISUMU,WINAM,NORTH KISUMU,NYAHERA,SUBLOC CENTROID,3,MOH,-0.031469,34.714786,7496590b-18bd-4710-9c26-52a4cda713c9,34.714786,-0.031469
1407,24,NYALENDA SUB-HEALTH CENTRE,3566,NYANZA,KISUMU,WINAM,WEST KOLWA,NYALENDA 'B',DDP,3,MOH,-0.136876,34.7475,607ac8ce-da70-412d-a9a0-bd7119e1c4e4,34.7475,-0.136876
1408,25,NYANZA PROVINCIAL GENERAL HOSP,1328,NYANZA,KISUMU,WINAM,S.W KISUMU,OJOLLA,HD MAPS,2,MOH,-0.0919,34.6732,0202f992-7159-410e-b3c4-e2db7dc44649,34.6732,-0.0919
1409,26,OBER KAMOTH HEALTH CENTRE,1323,NYANZA,KISUMU,WINAM,S.W KISUMU,OSIRI,DDP,3,LA,-0.131256,34.625,ac919e0f-ee40-40c3-8f26-fbfd206ef2fd,34.625,-0.131256
1410,7,MBITA HEALTH CENTRE,1450,NYANZA,SUBA,MBITA,GEMBE WEST,MBITA TOWNSHIP,1:50000 MAPS,3,MOH,-0.467294,34.2043,3786aa55-2a7a-4e29-9213-287b527fdd48,34.2043,-0.467294
1411,13,RHAMU HEALTH CENTRE,1213,N. EASTERN,MANDERA,RHAMU,RHAMU,RHAMU,DDP,3,MOH,3.935952,41.203319,044aaa79-de02-462e-b1f8-6803af8ea9f9,41.203319,3.935952
1412,27,OGEN DISP,3774,NYANZA,KISUMU,WINAM,S.W KISUMU,OJOLLA,SUBLOC CENTROID,4,MOH,-0.079079,34.656448,5bb10930-2671-47ca-8924-dd7338c363cf,34.656448,-0.079079
1413,8,NYADENDA DISP,1121,NYANZA,SUBA,CENTRAL,RUMA,NYADENDA,HD MAPS,4,MOH,-0.58124,34.25123,1449c014-7922-438e-be11-d3b2ad26ba06,34.25123,-0.58124
1414,14,SHIBIR FATUMA DISP,4377,N. EASTERN,MANDERA,SHIMBIR FATUMA,SHIMBIR FATUMA,SHIMBIR FATUMA,SUBLOC CENTROID,4,MISS,2.994166,40.65181,1419d4b8-d5fb-47a5-968e-99bb005eaab2,40.65181,2.994166
1415,28,OJOLLA DISP,1303,NYANZA,KISUMU,WINAM,S.W KISUMU,OJOLLA,SUBLOC CENTROID,4,LA,-0.079079,34.656448,e8d8c730-2f38-4727-9978-5de78a6133f6,34.656448,-0.079079
1416,0,NYANGWETHE DISP,0,NYANZA,SUBA,GWASSI,GWASSI NORTH,NYAGWETHE,DHMT,4,MISS,-0.608032,34.098966,f234a807-7b91-4fbd-85be-ee2edebf4686,34.098966,-0.608032
1417,15,TAKABA HEALTH CENTRE,1214,N. EASTERN,MANDERA,TAKABA,TAKABA,TAKABA,DDP,3,MOH,3.372873,40.215075,51f5728a-9ba9-4c35-b617-ad086b7f9292,40.215075,3.372873
1418,29,ONYWONGO DISP,0,NYANZA,KISUMU,WINAM,NORTH KISUMU,BAR A,ILRI VILLAGES,4,NGO,-0.032,34.7,f453b9a5-9abe-463b-ab12-d9c58807cd11,34.7,-0.032
1419,10,NYS DISP,1418,NYANZA,SUBA,CENTRAL,RUMA,NYADENDA,HD MAPS,4,MOH,-0.62321,34.24123,541e22e1-35f2-4692-85ad-71463c79ab86,34.24123,-0.62321
1420,16,WARGADUD DISP,0,N. EASTERN,MANDERA,WARGADUD,WARGADUD,WARGADUD(MAND),DDP,4,MOH,3.140544,40.865514,e28f9995-70b6-4159-a14d-faa2460bb209,40.865514,3.140544
1421,30,RAMUGHARIA SIKH DISP,1308,NYANZA,KISUMU,WINAM,TOWNSHIP,NORTHERN,SUBLOC CENTROID,4,LA,-0.097836,34.761528,e687dd08-93be-49d3-83c9-594df2d3953b,34.761528,-0.097836
1422,11,OGONGO HEALTH CENTRE,1420,NYANZA,SUBA,LAMBWE,LAMBWE WEST,OGONGO,HD MAPS,3,MOH,-0.58123,34.35123,b795ef01-07e2-4e79-8877-e5611a37c5b7,34.35123,-0.58123
1423,1,ABAKORE DISP,0,N. EASTERN,WAJIR,HABASWEIN,ABAKORE,ABAKORE,DISTRICT ESTIMATES,4,MOH,0.602452,39.716838,cf894a43-7c02-4ee6-b471-0f641cec9cc1,39.716838,0.602452
1424,31,RERU DISP,3568,NYANZA,KISUMU,KOMBEWA,WEST SEME,WEST RERU,DDP,4,MOH,-0.095945,34.4436,654d6285-0578-42f2-bc61-866601181ec7,34.4436,-0.095945
1425,12,PONGE DISP,3938,NYANZA,SUBA,MBITA,GEMBE CENTRAL,KAMRERI WEST,HD MAPS,4,MOH,-0.54123,34.25231,af2b4e9e-a156-47b3-a275-11b27e092ad8,34.25231,-0.54123
1426,2,AFRICA MUSLIM AGENCY DISP,3487,N. EASTERN,WAJIR,GRIFTU,GANYURE,GANYURE,DISTRICT ESTIMATES,4,MISS,1.71834,39.968956,96152397-13b8-42f7-9d00-6551cc26298b,39.968956,1.71834
1427,32,RERU DISP,4255,NYANZA,KISUMU,KOMBEWA,WEST SEME,WEST RERU,MEDS,4,MISS,-0.10021,34.45195,22e7177f-89d5-41a0-964c-103704a04006,34.45195,-0.10021
1428,13,SENA HEALTH CENTRE,1429,NYANZA,SUBA,MFANGANO,MFANGANO EAST,WAKINGA,1:50000 MAPS,3,MOH,-0.4679,34.0621,55c2d67d-f8d4-4063-9680-345b501866b6,34.0621,-0.4679
1429,3,AJAWA DISP,1216,N. EASTERN,WAJIR,GURAR,AJAWA,AJAWA,DDP,4,MOH,3.070257,39.594792,3c4a7cb5-b448-4d9e-a2bd-82e2ebabc80e,39.594792,3.070257
1430,33,ROTA DISP,1309,NYANZA,KISUMU,MASENO,OTWENYA,NORTH RATA,DDP,4,MOH,-0.033521,34.5332,66ab1197-8968-4457-8273-fbf634f7bd31,34.5332,-0.033521
1431,14,SHARE KENYA DISP,0,NYANZA,SUBA,MBITA,GEMBE WEST,MBITA TOWNSHIP,DHMT,4,NGO,-0.42172,34.212035,1a15c859-a79a-4fb3-ae3a-a6b529bc7a54,34.212035,-0.42172
1432,34,SIRIBA DISP,1311,NYANZA,KISUMU,MASENO,N.W. KISUMU,SUNGA,DDP,4,MOH,0.005144,34.6043,c98a841a-4d63-4f06-a512-478c513e7016,34.6043,0.005144
1433,4,ARBAJAHAN DISP,3826,N. EASTERN,WAJIR,GRIFTU,ARBAJAHAN,ARBAJAHAN,DDP,4,MOH,2.0912,39.0811,1a6414cf-594f-4c77-932d-444b83f8d39b,39.0811,2.0912
1434,15,SINDO RHDC ( AGG. SUBA DISTRICT HOSPITAL),1474,NYANZA,SUBA,CENTRAL,KAKSINGRI WEST,RANGWA EAST,1:50000 MAPS,1,MOH,-0.541249,34.1658,8df2dc84-905c-4aec-a2cb-edf227ea8836,34.1658,-0.541249
1435,35,ST. CLARES BOLO MISSION DISP,2552,NYANZA,KISUMU,WINAM,MIWANI,CENTRAL MIWANI,MEDS,4,MISS,-0.04448,34.88686,63fd4ca9-c232-422d-922d-27a85fbeb0d6,34.88686,-0.04448
1436,16,SOKLO DISP,4489,NYANZA,SUBA,MFANGANO,MFANGANO WEST,SOKLO SOUTH,HD MAPS,4,MOH,-0.46231,34.02231,6f25249c-770b-4228-860c-96d32ec7c963,34.02231,-0.46231
1437,5,BIYAMATHOW DISP,0,N. EASTERN,WAJIR,SEBULE,SARIF,SARIF,DISTRICT ESTIMATES,4,MOH,0.397138,40.801336,83af2811-7b72-453d-b124-3e5f8ed67724,40.801336,0.397138
1438,36,ST. MONICAS HOSPITAL KISUMU,0,NYANZA,KISUMU,WINAM,WEST KAJULU,KONYA,MEDS,1,MISS,-0.0422,34.76971,e94b8a53-b4f7-4ed9-b9f5-51feee0e2079,34.76971,-0.0422
1439,6,BUNA HEALTH CENTRE,1229,N. EASTERN,WAJIR,BUNA,BUNA,BUNA,DDP,3,MOH,3.019239,39.461783,2eff7c0d-00a4-48b8-9751-47a0b40aca7e,39.461783,3.019239
1440,17,ST.  LUKE'S HEALTH CENTRE,1466,NYANZA,SUBA,MFANGANO,MFANGANO EAST,WAKINGA,DHMT,3,MISS,-0.479827,34.061272,48fdbc69-b0a7-4792-b055-fc19b0659d8b,34.061272,-0.479827
1441,37,TOWN HALL DISP,1315,NYANZA,KISUMU,WINAM,TOWNSHIP,BANDARI,SUBLOC CENTROID,4,LA,-0.086017,34.75684,6933f0c3-2810-4a28-86a8-fd466fe4125f,34.75684,-0.086017
1442,7,BUTE HEALTH CENTRE,1230,N. EASTERN,WAJIR,BUTE,BUTE,BUTE,DDP,3,MOH,3.378396,39.41198,c6bfbf07-9da6-4079-9646-4ae69c69dffc,39.41198,3.378396
1443,18,ST. MARY'S DISP,3292,NYANZA,SUBA,MBITA,GEMBE WEST,MBITA TOWNSHIP,SUBLOC CENTROID,4,MISS,-0.46,34.20852,b71ed715-36ba-4704-805b-3e72d0c7cf4c,34.20852,-0.46
1444,38,VICTORIA HOSPITAL,1331,NYANZA,KISUMU,WINAM,WEST KOLWA,NYALENDA 'B',HD MAPS,1,MOH,-0.117106,34.7576,3eae66c8-394d-4d7a-ae05-56663619b9a1,34.7576,-0.117106
1445,20,"TOM MBOYA MEMORIAL DISTRICT HOSP, MBITA",1467,NYANZA,SUBA,MBITA,RUSINGA WEST,KASWANGA,HD MAPS,1,MOH,-0.40123,34.17231,b99de180-8f2f-4cb7-bcb8-ecb4db06a197,34.17231,-0.40123
1446,8,DAMBAS DISP,0,N. EASTERN,WAJIR,TARBAJ,DAMBAS,DAMBAS,DDP,4,MOH,2.38608,39.9967,473e4b54-0d06-4d3e-a394-3a5318c8cdb2,39.9967,2.38608
1447,1,BUGUMBE HEALTH CENTRE,1390,NYANZA,KURIA,MABERA,TAGARE,MABERA,1:50000 MAPS,3,MOH,-1.16137,34.4367,9b87e4e2-ae7c-4913-bdd2-b514619eb210,34.4367,-1.16137
1448,21,TONGA HEALTH CENTRE,1468,NYANZA,SUBA,GWASSI,GWASSI WEST,TONGA,1:50000 MAPS,3,MISS,-0.6931,34.1178,758d11c5-5823-4ab7-a260-40e5e5c78d40,34.1178,-0.6931
1449,9,DANABA DISP,0,N. EASTERN,WAJIR,GURAR,DANABA,DANABA,DISTRICT ESTIMATES,4,MOH,3.280454,39.731182,95bdf76c-da42-45cc-8b24-229cd85b7e73,39.731182,3.280454
1450,10,DIFF DISP,1217,N. EASTERN,WAJIR,DIFF,DIFF,DIFF,DDP,4,MOH,0.986078,40.984295,d5f8cfa6-b394-4215-a3b7-631b15148d0b,40.984295,0.986078
1451,2,CHINATO DISP,3895,NYANZA,KURIA,KEGONGA,NYABASI WEST,NYABIKONGORI,1:50000 MAPS,4,MOH,-1.2885,34.6137,81220c9b-84a9-4366-b8e6-93b784455d1d,34.6137,-1.2885
1452,22,UGINA DISP,1433,NYANZA,SUBA,MFANGANO,MFANGANO SOUTH,WAKULA SOUTH,HD MAPS,4,MOH,-0.49123,34.00212,3c5b78f9-d275-456f-9b36-160588fd5431,34.00212,-0.49123
1453,11,ELBEN DISP,1218,N. EASTERN,WAJIR,TARBAJ,ELBEN,ELBEN,DDP,4,MOH,2.532,40.2461,54b7ec12-3420-48ab-a553-3dd06203845d,40.2461,2.532
1454,4,GETONGOROMA DISP,3828,NYANZA,KURIA,KEGONGA,NGURUNA,GETONGOROMA,HD MAPS,4,MOH,-1.29771,34.6558,295d20b4-c980-429e-9532-a9da0e01c376,34.6558,-1.29771
1455,24,USAO DISP,6145,NYANZA,SUBA,MBITA,GEMBE EAST,USAO,1:50000 MAPS,4,MOH,-0.460573,34.3754,8307bde7-960b-4b3f-92da-11469e0ce065,34.3754,-0.460573
1456,5,GWITEMBE DISP,4284,NYANZA,KURIA,NTIMARU,BWIREGE EAST,GWITEMBE,HD MAPS,4,MOH,-1.371042,34.710446,a36e2d16-d6e3-4f55-9999-eb2b979861de,34.710446,-1.371042
1457,25,WAKULA DISP,1376,NYANZA,SUBA,MFANGANO,MFANGANO WEST,WAKULA NORTH,HD MAPS,4,MOH,-0.44123,34.01232,98646195-6d44-40ce-953a-6d3040d19610,34.01232,-0.44123
1458,12,ELDAS DISP,1219,N. EASTERN,WAJIR,ELDAS,ELDAS,ELDAS,DDP,4,MOH,2.407958,39.638052,025b1cea-d7fa-4d7f-9ab4-cf5dd28b902a,39.638052,2.407958
1459,6,ISEBANIA MISSION HEALTH CENTRE,2504,NYANZA,KURIA,KEHANCHA,BUKIRA WEST,NYABIKAYE,ILRI VILLAGES,3,MISS,-1.22,34.48,7726ce5d-3819-4fe1-bc21-cf6668c76621,34.48,-1.22
1460,13,GRIFTU HEALTH CENTRE,1220,N. EASTERN,WAJIR,GRIFTU,GRIFTU,GRIFTU,DDP,3,MOH,2.04256,39.7807,a65f2726-2c38-4f28-9998-79b0b3deb2d7,39.7807,2.04256
1461,1,AIYEBO DISP,0,RIFT VALLEY,BARINGO,KABARTONJO,SAIMO,TIRIMIONIN,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.667621,35.8125,cb904ccd-e51e-4d42-987c-43aa4f45c76a,35.8125,0.667621
1462,7,ISIBANIA RURAL DEMONSTRATION CENTRE,1473,NYANZA,KURIA,MABERA,BUGEMBE SOUTH,ISIBANIA,SUBLOC CENTROID,3,MOH,-1.202746,34.464607,fe908526-37a1-4186-9b1a-0dfd46c1dccf,34.464607,-1.202746
1463,2,AMAYA MISSION DISP,1929,RIFT VALLEY,BARINGO,TANGULBEI,CHURO,AMAYA,DSA/MOH-UNICEF PROJECT REPORT(99),4,MISS,0.82124,36.450123,8d6e1866-e11a-4b29-8a70-8ab7e6ce59b4,36.450123,0.82124
1464,14,GURAR DISP,1221,N. EASTERN,WAJIR,GURAR,GURAR,GURAR,DDP,4,MOH,3.298583,39.548819,5820a10f-baf7-43fa-99b1-a06e05ce9a0b,39.548819,3.298583
1465,8,KEGONGA HEALTH CENTRE,1476,NYANZA,KURIA,KEGONGA,NYABASI EAST,KEGONGA,1:50000 MAPS,3,MOH,-1.24622,34.6495,7e57e219-17f8-4e19-add8-65854e562981,34.6495,-1.24622
1466,3,BARPELLO DISP,1930,RIFT VALLEY,BARINGO,KOLLOWA,KOLLOWA,BARPELLO,DSA/MOH-UNICEF PROJECT REPORT(99),4,MISS,1.16278,35.9076,e0de7ebd-c4de-4615-ae2e-591a02c89d0a,35.9076,1.16278
1467,15,HABASWEIN HEALTH CENTRE,1222,N. EASTERN,WAJIR,HABASWEIN,HABASWEIN,HABASWEIN,DDP,3,MOH,0.969016,39.504103,4b35b4fb-2d14-4b38-8436-a4795c743fb3,39.504103,0.969016
1468,9,KEHANCHA DISTRICT HOSPITAL,1444,NYANZA,KURIA,KEGONGA,MAETA,NYAITARA,1:50000 MAPS,1,MOH,-1.1765,34.6338,9b931c0d-0990-417e-9a1f-8f330d5db55b,34.6338,-1.1765
1469,4,BARTABWA DISP,1931,RIFT VALLEY,BARINGO,BARTABWA,NGOROBA,KESUMET,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.836503,35.816,bfda183e-825c-4e60-92f3-db6cb5b2000d,35.816,0.836503
1470,16,HADADO HEALTH CENTRE,3953,N. EASTERN,WAJIR,HADADO,HADADO NORTH,HADADO NORTH,DDP,3,MOH,1.521219,39.449424,992ab0d4-2918-4fb2-a696-7a3e097f3fd3,39.449424,1.521219
1471,5,BARTOLIMO DISP,1932,RIFT VALLEY,BARINGO,KIPSARAMAN,KAPTEBEREWO,BARTOLIMO,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.691064,35.8225,2fb2952e-c1be-4fd9-af15-f61d5d1aa6bb,35.8225,0.691064
1472,10,KEHANCHA MISSION H C,0,NYANZA,KURIA,KEHANCHA,BUKIRA EAST,IGENA,1:50000 MAPS,3,MISS,-1.191442,34.617117,c1f1b696-a5b8-4982-9c9b-fefc238c339a,34.617117,-1.191442
1473,17,KHOROF HARAR H C,1223,N. EASTERN,WAJIR,WAJIR-BOR,KHOROF-HARAR,KHOROF-HARAR,DDP,3,MOH,2.075658,40.532626,b6e1e74c-20eb-44cd-92f8-43d123104434,40.532626,2.075658
1474,6,BARWESA H C,1933,RIFT VALLEY,BARINGO,BARWESA,LAWAN,BARWESSA,DSA/MOH-UNICEF PROJECT REPORT(99),3,MOH,0.713168,35.7013,8e508df6-0801-4b9b-ad7f-7ff12ffb85d4,35.7013,0.713168
1475,11,KOMBE DISP,4277,NYANZA,KURIA,MASABA,KOMBE,KOMBE(KURIA),ILRI MKT CENTRES,4,MOH,-1.10582,34.558607,18dfbaea-0aa9-46e2-ac2a-4fa815fd4cb9,34.558607,-1.10582
1476,18,MANSA DISP,4457,N. EASTERN,WAJIR,TARBAJ,MANZA,BURMAYO,SUBLOC CENTROID,4,MOH,2.992912,40.153837,0e49fd6a-4d43-4f4d-a104-3bd71532de27,40.153837,2.992912
1477,7,BEKIBON DISP,2424,RIFT VALLEY,BARINGO,TENGES,BEKIBON,BEKIBON,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.339176,35.8855,e35dc9e6-e0e7-42ce-8b4f-d85f40aa33fd,35.8855,0.339176
1478,12,KOMOTOBO HEALTH CENTRE,1446,NYANZA,KURIA,KEGONGA,NYABASI WEST,NYABIKONGORI,OMBO HOSP. REPORT,3,MISS,-1.26079,34.6121,40157aab-4cc2-4920-bd46-cf72923eb2cc,34.6121,-1.26079
1479,19,SABULI DISP,1224,N. EASTERN,WAJIR,SEBULE,SEBULE,SEBULE,DDP,4,MOH,0.233169,40.309499,1ecfe707-74cc-40c0-9776-7d0b859c047d,40.309499,0.233169
1480,8,BOROWININ DISP,0,RIFT VALLEY,BARINGO,KABARNET,KAPROPITA,KAPSOO/BOROWONI,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.440082,35.7792,986d81ce-c79e-42e4-893c-82b1262cc0ab,35.7792,0.440082
1481,13,KUGITIMO DISP,4591,NYANZA,KURIA,KEGONGA,NYABASI NORTH,KUGITIMO,SUBLOC CENTROID,4,MOH,-1.23217,34.678717,541386ee-d8c9-41fb-a338-dccf61880044,34.678717,-1.23217
1482,20,SARIF DISP,0,N. EASTERN,WAJIR,SEBULE,SARIF,SARIF,DDP,4,MOH,0.682761,40.546779,e1aa1c7e-a97f-4265-9cb8-1e813c83bc65,40.546779,0.682761
1483,9,BOSSEI DISP,1934,RIFT VALLEY,BARINGO,KABARTONJO,KELIO,KAPKIAMO,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.682357,35.777,947618a8-2dcf-4a1c-967b-4143c0e729e8,35.777,0.682357
1484,14,MASABA HEALTH CENTRE,1405,NYANZA,KURIA,MASABA,BUGEMBE NORTH,MASABA(KURIA),1:50000 MAPS,3,MOH,-1.11731,34.5322,e07ec751-a285-4f35-87a4-345121c05591,34.5322,-1.11731
1485,21,TARBAJ HEALTH CENTRE,1225,N. EASTERN,WAJIR,TARBAJ,TARBAJ,TARBAJ,DDP,3,MOH,2.152085,40.09833,ace7bca3-41de-497d-81fd-b47b06949d26,40.09833,2.152085
1486,10,CATHOLIC MISSION MARIGAT DISP,1961,RIFT VALLEY,BARINGO,MARIGAT,MARIGAT,YATOI,DSA/MOH-UNICEF PROJECT REPORT(99),4,MISS,0.476401,35.9754,4d492ead-4832-42ec-97c5-a5836f7b9e3c,35.9754,0.476401
1487,15,MATARE SDA DISP,2734,NYANZA,KURIA,MABERA,TAGARE,NGISIRU,ILRI MKT CENTRES,4,MISS,-1.141126,34.457783,590e176c-d15a-4f38-8825-eb617fd384f3,34.457783,-1.141126
1488,22,TULATULA DISP,0,N. EASTERN,WAJIR,GRIFTU,TULATULA,TULA TULA,DISTRICT ESTIMATES,4,MOH,1.880258,39.764579,126ee9e5-e290-44ce-88fc-21960933d864,39.764579,1.880258
1489,11,CHEMALENGOT H C,3854,RIFT VALLEY,BARINGO,NGINYANG,RIBKWO,CHESAKAM,DSA/MOH-UNICEF PROJECT REPORT(99),3,MOH,0.987236,35.9877,277109dd-a923-4a08-ba42-7f35366099f1,35.9877,0.987236
1490,23,WAGALLA DISP,1226,N. EASTERN,WAJIR,GRIFTU,WAGALLA,WAGALLA,DDP,4,MOH,1.785442,39.931893,537e9c78-80c8-4d8f-815a-54758787a849,39.931893,1.785442
1491,16,NTIMARU HEALTH CENTRE,1409,NYANZA,KURIA,NTIMARU,BWIREGE WEST,NTIMARU,OMBO HOSP. REPORT,3,MOH,-1.34212,34.686,03741796-7b6a-4b3f-af64-7b1d3c65b68b,34.686,-1.34212
1492,12,CHEMONLIMGOT DISP,3184,RIFT VALLEY,BARINGO,NGINYANG,RIBKWO,CHESAKAM,DSA/MOH-UNICEF PROJECT REPORT(99),4,MISS,0.987236,35.9877,46c0f67e-2174-491c-b01d-c74e04cc05ae,35.9877,0.987236
1493,24,WAJIR AIC DISP,2871,N. EASTERN,WAJIR,CENTRAL,JOGBARU,GOTADE,DISTRICT ESTIMATES,4,MISS,1.771501,40.058645,fd1f6251-3583-45d8-9769-d5c44d5390e2,40.058645,1.771501
1494,13,CHEPLAMBUS DISP,3751,RIFT VALLEY,BARINGO,TENGES,EMOM,CHEPLAMBUS,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.284218,35.7504,52aaf213-bf46-4085-8d3b-31779aad19d3,35.7504,0.284218
1495,17,NTIMARU SDA DISP,0,NYANZA,KURIA,NTIMARU,BWIREGE WEST,NTIMARU,1:50000 MAPS,4,MISS,-1.34782,34.6848,f08baedb-de37-497a-b735-1caa89637d48,34.6848,-1.34782
1496,25,WAJIR BOR DISP,1227,N. EASTERN,WAJIR,WAJIR-BOR,KHOROF-HARAR,KONTON,SUBLOC CENTROID,4,MOH,1.954284,40.805737,95991a00-5b84-402e-a0fe-64901c2309fd,40.805737,1.954284
1497,14,CHURO SUB-HEALTH CENTRE,1936,RIFT VALLEY,BARINGO,TANGULBEI,CHURO,CHURO,DSA/MOH-UNICEF PROJECT REPORT(99),3,MISS,0.781098,36.4168,ba80179d-eb56-408b-af03-33001f2be899,36.4168,0.781098
1498,18,NYABIKAYE DISP,1410,NYANZA,KURIA,KEHANCHA,BUKIRA WEST,NYAMAHARAGA,OMBO HOSP. REPORT,4,MISS,-1.22826,34.4841,6ed1f03a-1c0f-4977-a558-38528e48b626,34.4841,-1.22826
1499,26,WAJIR DISTRICT HOSPITAL,1231,N. EASTERN,WAJIR,GRIFTU,KUKALA,KUKALA,HD MAPS,1,MOH,1.6909,40.0396,5657121b-e8d8-4e3c-8f2f-a0a8df5e8b2a,40.0396,1.6909
1500,15,KABARNET DISTRICT HOSPITAL,1988,RIFT VALLEY,BARINGO,KABARNET,KABARNET MOSOP,KEWAMOI,DSA/MOH-UNICEF PROJECT REPORT(99),1,MOH,0.4951,35.735,f7daa889-173f-482d-a647-e2b8a70a0525,35.735,0.4951
1501,19,NYAMETABURO DISP,4278,NYANZA,KURIA,KEHANCHA,BUKIRA WEST,NYAMATABURO,SUBLOC CENTROID,4,MOH,-1.234433,34.517256,374a162c-1dec-4cd8-909f-d29e2138977b,34.517256,-1.234433
1502,3,APTC  EMBAKASI HEALTH CENTRE,56,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,MIHANGO,GPS,3,LA,-1.28724,36.95676,7ef49c97-3a45-40f5-bb8c-60bbb443fe87,36.95676,-1.28724
1503,16,KABARTONJO H C,1983,RIFT VALLEY,BARINGO,KABARTONJO,OSSEN,TIRIONDONIN,DSA/MOH-UNICEF PROJECT REPORT(99),3,MOH,0.626092,35.7877,864cd62e-a271-4c87-ab71-598941c3faa0,35.7877,0.626092
1504,0,KALABATA DISP,0,RIFT VALLEY,BARINGO,BARTABWA,KINYACH,KALABATA,DHMT,4,MOH,0.94,35.77,3bac947d-95e5-4eea-8de8-9f30ac6710e9,35.77,0.94
1505,20,NYANGOGE DISP,1417,NYANZA,KURIA,MASABA,BUGEMBE EAST,NYANGOGE(KURIA),HD MAPS,4,MOH,-1.16047,34.4726,ecb419ed-8146-4f87-bf85-73a589c67e1e,34.4726,-1.16047
1506,4,AYANY ESTATE HEALTH CENTRE,2541,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,OLYMPIC,GPS,3,LA,-1.30508,36.77192,99508c49-31d7-4e78-9c0e-c8a8ef7174c5,36.77192,-1.30508
1507,17,KAMPI YA SAMAKI SUB-H C,1993,RIFT VALLEY,BARINGO,KABARTONJO,BARTUM,AKORIAN,DSA/MOH-UNICEF PROJECT REPORT(99),3,MOH,0.641564,36.0224,52be7a59-ec67-4ff7-b8b4-6d5be0f2c212,36.0224,0.641564
1508,21,TARAGANYA DISP,1432,NYANZA,KURIA,KEHANCHA,BUKIRA EAST,TARANGANYA,OMBO HOSP. REPORT,4,MOH,-1.23596,34.6024,d3db60ae-c4a0-4ef0-bc93-9ae5ae8468f7,34.6024,-1.23596
1509,5,BABA DOGO HEALTH CENTRE,2542,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,BABA DOGO,GPS,3,LA,-1.2441,36.88416,723ae4db-133d-4ffa-93ee-da770ad25b60,36.88416,-1.2441
1510,18,KAPCHEPKOR DISP,2415,RIFT VALLEY,BARINGO,KABARTONJO,SAIMO,KAPCHEPKOR,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.624083,35.8192,0242bf73-2491-438e-800e-908ece94cf64,35.8192,0.624083
1511,1,AGENGA SUB-HEALTH CENTRE,1378,NYANZA,MIGORI,NYATIKE,CENTRAL KADEM,E. KANYUOR,1:50000 MAPS,3,MOH,-0.935185,34.2474,85b7439d-bda6-4daf-aa09-6af80dac8365,34.2474,-0.935185
1512,19,KAPEDO SUB-DISTRICT HOSPITAL,0,RIFT VALLEY,BARINGO,NGINYANG,RIBKWO,KAPEDO WEST,HD MAPS,1,MOH,1.159,36.0901,3ec61c59-e3aa-47f6-8dd9-e6f0608f6c6f,36.0901,1.159
1513,6,BAHATI DISP,58,NAIROBI,NAIROBI,MAKADARA,MARINGO,OFAFA MARINGO,DISTRICT ESTIMATES,4,MISS,-1.29221,36.86215,6f53f6b0-c426-4ab5-a34f-a011d5d1d1b7,36.86215,-1.29221
1514,2,AIC AHANGO DISP,1709,NYANZA,MIGORI,NYATIKE,EAST KADEM,BANDE,ILRI VILLAGES,4,MISS,-1.07,34.18,d00ce76d-b1b8-43c9-9071-45c79904e721,34.18,-1.07
1515,20,KAPKELELWA DISP,1939,RIFT VALLEY,BARINGO,SACHO,SACHO SOI,KAPKELELWA,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.367105,35.7144,35cd890c-3bc2-4cca-85bd-3b59aa707c1b,35.7144,0.367105
1516,7,BAHATI HEALTH CENTRE,131,NAIROBI,NAIROBI,PUMWANI,BAHATI,KIMATHI(NAIROBI),GPS,3,LA,-1.286682,36.861624,188d77b3-da03-4c45-9730-3c1608f9d880,36.861624,-1.286682
1517,21,KAPKIAMO DISP,0,RIFT VALLEY,BARINGO,KABARTONJO,KELIO,KAPKIAMO,DSA/MOH-UNICEF PROJECT REPORT(99),4,MOH,0.655565,35.7823,c3dcb235-cbaa-496b-82e0-893e84e0c08b,35.7823,0.655565
